CODICE	DESCRIZIONE	COORDX	COORDY
pv0101	MONTEMAINO ex dazio	513956,75	5007613,5
pv0102	MONTEMAINO Pizzocaro	513596,281	5007601
pv0103	MONTEMAINO	513342,312	5007505,5
pv0104	SAN BERNARDO	513083,812	5007514
pv0105	MIRABELLO Scuole	513005,156	5007230,5
pv0106	MIRABELLO Rampoldi	512963,344	5007016,5
pv0107	MIRABELLO Rizza	512901,594	5006807
pv0108	MIRABELLO civ. 22	512826,906	5006522
pv0109	SCALA	512782,844	5006445
pv0110	RIONE SCALA Salvo D'Acquisto	512588,719	5006475
pv0111	SCALA Olevano	512752,344	5006437,5
pv0112	OLEVANO Briosco	512796,906	5006370
pv0113	OLEVANO Cerise	512668,75	5005820,5
pv0114	OLEVANO Case Nuove Canonici	512612,438	5005578
pv0115	OLEVANO Spelta	512557,281	5005346
pv0116	OLEVANO Guido da Vigevano	512512,219	5005155
pv0117	SAN GIUSEPPE	512469,406	5004905,5
pv0118	LUDOVICO IL MORO Cattaneo	512531,188	5004606
pv0119	LUDOVICO IL MORO Marconi	512714,938	5004484,5
pv0120	LUDOVICO IL MORO Tasso	512906,375	5004332,5
pv0121	TASSO Alzaia	512833,875	5004215
pv0122	CAIROLI E. Filiberto	512677,812	5004021
pv0123	CASTELLO	512328	5003998,5
pv0124	ITALIA	512256,156	5003780
pv0125	STRADA NUOVA Demetrio	512194,344	5003568,5
pv0126	STRADA NUOVA Cardano	512114,312	5003296,5
pv0127	STRADA NUOVA Ponte Coperto	512089,625	5003235,5
pv0128	GHINAGLIA	511973,375	5002924,5
pv0129	DEI MILLE Beretta	511812,094	5002685
pv0130	DEI MILLE Strada Persa	511671,312	5002368
pv0131	DEI MILLE Gravellone	511494,438	5002095
pv0133	BRAMANTE Parcheggio	511170,5	5001612,5
pv0134	San Martino GRAVELLONE	510951,312	5001184
pv0135	San Martino PIEMONTE	510794,594	5001136,5
pv0136	San Martino ROMA civ. 125	510866,969	5000943,5
pv0137	San Martino ROMA civ. 61	510806,625	5000780
pv0138	San Martino ROMA Comune	510557,938	5000347
pv0143	San Martino GRAVELLONE	510997,875	5001272,5
pv0144	BRAMANTE Parcheggio	511183,25	5001606
pv0145	BIVIO GRAVELLONE Dei Mille	511496,625	5002066,5
pv0146	DEI MILLE Vanzini	511706,312	5002403,5
pv0147	DEI MILLE Pasino	511839,438	5002697
pv0148	GHINAGLIA	511975	5002907
pv0149	STRADA NUOVA Ponte Coperto	512096,406	5003212,5
pv0150	STRADA NUOVA Garibaldi	512133,031	5003319,5
pv0151	STRADA NUOVA Demetrio	512213,781	5003591,5
pv0152	ITALIA	512275,438	5003803,5
pv0153	CASTELLO	512322	5003970,5
pv0154	EMANUELE FILIBERTO	512707,469	5004044,5
pv0155	TASSO Colesino	512908,375	5004247
pv0156	LUDOVICO IL MORO Albani	512919,875	5004329
pv0157	LUDOVICO IL MORO Marconi	512727,031	5004485
pv0158	SCARAMUZZA Ludovico il Moro	512514,906	5004650,5
